Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,107,0,1893
2,101,0,1792
3,149,0,1643
4,183,0,1460
5,152,0,1308
6,128,0,1180
7,0,820,2000
8,39,0,1961
9,145,0,1816
10,32,0,1784
11,133,0,1651
12,103,0,1548
13,12,0,1536
14,0,464,2000
15,30,0,1970
16,121,0,1849
17,64,0,1785
18,184,0,1601
19,182,0,1419
20,69,0,1350
21,0,650,2000
22,16,0,1984
23,197,0,1787
24,11,0,1776
25,2,0,1774
26,21,0,1753
27,112,0,1641
28,0,359,2000
29,139,0,1861
30,168,0,1693
31,54,0,1639
32,159,0,1480
33,136,0,1344
34,184,0,1160
35,0,840,2000
36,6,0,1994
37,72,0,1922
38,140,0,1782
39,74,0,1708
40,70,0,1638
41,73,0,1565
42,0,435,2000
43,97,0,1903
44,159,0,1744
45,195,0,1549
46,98,0,1451
47,89,0,1362
48,115,0,1247
49,0,753,2000
